employee_id,trip_date,category,origin,destination,distance_km,amount_local,currency
EMP001,2024-01-05,FLIGHT,LHR,JFK,5546,1250.00,USD
EMP001,2024-01-05,FLIGHT,JFK,LHR,5546,1190.00,USD
EMP002,2024-01-10,FLIGHT,DEL,BOM,2168,320.00,INR
EMP002,2024-01-10,FLIGHT,BOM,DEL,2168,340.00,INR
EMP003,2024-01-12,FLIGHT,CDG,FRA,478,890.00,EUR
EMP003,2024-01-12,FLIGHT,FRA,CDG,478,920.00,EUR
EMP004,2024-01-15,FLIGHT,LHR,ORD,6391,1450.00,USD
EMP004,2024-01-15,FLIGHT,ORD,LHR,6391,1380.00,USD
EMP005,2024-01-18,FLIGHT,SIN,LHR,10874,2100.00,USD
EMP005,2024-01-18,FLIGHT,LHR,SIN,10874,2050.00,USD
EMP001,2024-01-20,HOTEL,JFK,JFK,,180.00,USD
EMP002,2024-01-20,HOTEL,BOM,BOM,,95.00,INR
EMP003,2024-01-22,HOTEL,FRA,FRA,,220.00,EUR
EMP001,2024-01-20,GROUND,JFK,JFK,45,,USD
EMP002,2024-01-20,GROUND,BOM,BOM,28,,INR
EMP003,2024-01-22,GROUND,FRA,FRA,15,,EUR
EMP004,2024-01-25,FLIGHT,LAX,SFO,543,,USD
EMP004,2024-01-25,FLIGHT,SFO,LAX,543,,USD
EMP005,2024-01-28,FLIGHT,LHR,AMS,372,420.00,EUR
EMP005,2024-01-28,FLIGHT,AMS,LHR,372,390.00,EUR
EMP001,2024-02-02,FLIGHT,JFK,LHR,5546,1320.00,USD
EMP001,2024-02-02,FLIGHT,LHR,JFK,5546,1250.00,USD
EMP002,2024-02-05,FLIGHT,DEL,SIN,4241,850.00,USD
EMP002,2024-02-05,FLIGHT,SIN,DEL,4241,820.00,USD
EMP003,2024-02-08,FLIGHT,FRA,LHR,649,980.00,EUR
EMP003,2024-02-08,FLIGHT,LHR,FRA,649,950.00,EUR
EMP004,2024-02-12,FLIGHT,ORD,LAX,2822,580.00,USD
EMP004,2024-02-12,FLIGHT,LAX,ORD,2822,560.00,USD
EMP005,2024-02-15,FLIGHT,SIN,HKG,2590,680.00,USD
EMP005,2024-02-15,FLIGHT,HKG,SIN,2590,650.00,USD
EMP001,2024-02-18,HOTEL,LHR,LHR,,250.00,GBP
EMP002,2024-02-18,HOTEL,SIN,SIN,,180.00,USD
EMP003,2024-02-20,HOTEL,LHR,LHR,,280.00,GBP
EMP001,2024-02-18,GROUND,LHR,LHR,35,,GBP
EMP002,2024-02-18,GROUND,SIN,SIN,22,,USD
EMP003,2024-02-20,GROUND,LHR,LHR,28,,GBP
EMP004,2024-02-25,FLIGHT,LAX,SFO,543,180.00,USD
EMP004,2024-02-25,FLIGHT,SFO,LAX,543,175.00,USD
EMP005,2024-02-28,FLIGHT,HKG,TPE,810,520.00,USD
EMP005,2024-02-28,FLIGHT,TPE,HKG,810,480.00,USD