meter_id,billing_period_start,billing_period_end,consumption_kwh,demand_kva,tariff_code
MTR-DE-001,2024-01-01,2024-01-31,12450,45,TARIFF-D-R01
MTR-DE-001,2024-02-01,2024-02-29,11820,42,TARIFF-D-R01
MTR-DE-002,2024-01-01,2024-01-31,8750,32,TARIFF-D-R01
MTR-DE-002,2024-02-01,2024-02-29,9100,35,TARIFF-D-R01
MTR-DE-003,2024-01-01,2024-01-31,15200,55,TARIFF-D-R02
MTR-DE-003,2024-02-01,2024-02-29,14850,52,TARIFF-D-R02
MTR-NL-001,2024-01-01,2024-01-31,22000,78,TARIFF-NL-R01
MTR-NL-001,2024-02-01,2024-02-29,21500,75,TARIFF-NL-R01
MTR-NL-002,2024-01-01,2024-01-31,18900,68,TARIFF-NL-R01
MTR-NL-002,2024-02-01,2024-02-29,19200,70,TARIFF-NL-R01
MTR-DE-004,2024-01-01,2024-01-31,7200,28,TARIFF-D-R01
MTR-DE-004,2024-02-01,2024-02-29,7500,30,TARIFF-D-R01
MTR-DE-005,2024-01-01,2024-01-31,55000,195,TARIFF-D-R02
MTR-DE-005,2024-02-01,2024-02-29,4800,42,TARIFF-D-R02
,2024-01-01,2024-01-31,9800,38,TARIFF-D-R01
MTR-DE-007,2024-01-01,2024-01-31,14300,52,TARIFF-D-R01
MTR-DE-007,2024-02-01,2024-02-29,13800,50,TARIFF-D-R01
MTR-DE-008,2024-01-01,2024-01-31,6500,25,TARIFF-D-R01
MTR-DE-008,2024-02-01,2024-02-29,6800,27,TARIFF-D-R01
MTR-NL-003,2024-01-01,2024-01-31,31000,110,TARIFF-NL-R02
MTR-NL-003,2024-02-01,2024-02-29,29500,105,TARIFF-NL-R02
MTR-DE-001,2024-03-01,2024-03-31,12100,44,TARIFF-D-R01
MTR-DE-002,2024-03-01,2024-03-31,8900,33,TARIFF-D-R01
MTR-DE-003,2024-03-01,2024-03-31,14900,54,TARIFF-D-R02
MTR-NL-001,2024-03-01,2024-03-31,22800,82,TARIFF-NL-R01
MTR-NL-002,2024-03-01,2024-03-31,19500,72,TARIFF-NL-R01
MTR-DE-006,2024-03-01,2024-03-31,11000,40,TARIFF-D-R01
MTR-DE-007,2024-03-01,2024-03-31,14200,51,TARIFF-D-R01
MTR-NL-003,2024-03-01,2024-03-31,30500,108,TARIFF-NL-R02
MTR-DE-009,2024-03-01,2024-03-31,8200,31,TARIFF-D-R01